x,y,w_r,w_l
2.3791,0.0400,0.6016,0.6016
2.3841,0.0400,0.6018,0.6018
2.3891,0.0400,0.6020,0.6020
2.3941,0.0400,0.6026,0.6026
2.3991,0.0400,0.6032,0.6032
2.4041,0.0400,0.6038,0.6038
2.4091,0.0400,0.6044,0.6044
2.4141,0.0400,0.6051,0.6051
2.4191,0.0400,0.6057,0.6057
2.4241,0.0400,0.6063,0.6063
2.4291,0.0400,0.6069,0.6069
2.4341,0.0400,0.6075,0.6075
2.4391,0.0400,0.6082,0.6082
2.4441,0.0400,0.6091,0.6091
2.4491,0.0400,0.6101,0.6101
2.4541,0.0400,0.6111,0.6111
2.4591,0.0400,0.6122,0.6122
2.4641,0.0400,0.6132,0.6132
2.4691,0.0400,0.6142,0.6142
2.4741,0.0400,0.6152,0.6152
2.4791,0.0400,0.6162,0.6162
2.4841,0.0400,0.6173,0.6173
2.4891,0.0400,0.6183,0.6183
2.4941,0.0400,0.6176,0.6176
2.4991,0.0400,0.6166,0.6166
2.5041,0.0400,0.6156,0.6156
2.5091,0.0400,0.6146,0.6146
2.5141,0.0400,0.6136,0.6136
2.5191,0.0400,0.6125,0.6125
2.5241,0.0400,0.6115,0.6115
2.5291,0.0400,0.6105,0.6105
2.5341,0.0400,0.6095,0.6095
2.5391,0.0400,0.6085,0.6085
2.5441,0.0400,0.6078,0.6078
2.5491,0.0400,0.6071,0.6071
2.5541,0.0400,0.6065,0.6065
2.5591,0.0400,0.6059,0.6059
2.5641,0.0400,0.6053,0.6053
2.5691,0.0400,0.6047,0.6047
2.5741,0.0400,0.6040,0.6040
2.5791,0.0400,0.6034,0.6034
2.5841,0.0400,0.6028,0.6028
2.5891,0.0400,0.6022,0.6022
2.5941,0.0400,0.6019,0.6019
2.5991,0.0400,0.6017,0.6017
2.6041,0.0400,0.6015,0.6015
2.6091,0.0400,0.6013,0.6013
2.6141,0.0400,0.6011,0.6011
2.6191,0.0400,0.6009,0.6009
2.6241,0.0400,0.6007,0.6007
2.6291,0.0400,0.6005,0.6005
2.6341,0.0400,0.6002,0.6002
2.6391,0.0400,0.6000,0.6000
2.6441,0.0400,0.6000,0.6000
2.6491,0.0400,0.6000,0.6000
